año,financiación,programa,Servicio,SUELDOS DOCENTES,SUELDOS NO DOCENTES,OTROS,TOTAL SUELDOS,GASTOS,SUMINISTROS,INVERSIONES,TOTAL
2022,1.2 Adicional Fondo Solidaridad,347,Agronomía,,,,,3670422,,2160516,5830938
2022,1.2 Adicional Fondo Solidaridad,347,Arquitectura,,,,,3293245,,1839209,5132454
2022,1.2 Adicional Fondo Solidaridad,347,Cs. Económicas,,,,,2326290,,1722849,4049139
2022,1.2 Adicional Fondo Solidaridad,347,Derecho,,,,,2349288,,1574695,3923983
2022,1.2 Adicional Fondo Solidaridad,347,Ingeniería,,,,,3228600,,1900178,5128778
2022,1.2 Adicional Fondo Solidaridad,347,Medicina,,,,,3706927,,1900400,5607327
2022,1.2 Adicional Fondo Solidaridad,347,Inst. Higiene,,,,,1007838,,791055,1798893
2022,1.2 Adicional Fondo Solidaridad,347,Odontología,,,,,2457312,,1854284,4311596
2022,1.2 Adicional Fondo Solidaridad,347,Química,,,,,2242528,,1616209,3858737
2022,1.2 Adicional Fondo Solidaridad,347,Veterinaria,,,,,3128140,,1815614,4943754
2022,1.2 Adicional Fondo Solidaridad,347,Humanidades,,,,,1664815,,1320782,2985597
2022,1.2 Adicional Fondo Solidaridad,347,Artes,,,,,3915434,,2165764,6081198
2022,1.2 Adicional Fondo Solidaridad,347,Psicología,,,,,2016258,,1448503,3464761
2022,1.2 Adicional Fondo Solidaridad,347,Enfermería,,,,,1715463,,1136181,2851644
2022,1.2 Adicional Fondo Solidaridad,347,Cs. Sociales,,,,,3968947,,1391239,5360186
2022,1.2 Adicional Fondo Solidaridad,347,Ciencias,,,,,2894072,,1726266,4620338
2022,1.2 Adicional Fondo Solidaridad,347,FIC,,,,,1878971,,1327337,3206308
2022,1.2 Adicional Fondo Solidaridad,347,Ofic. Centrales,,,,,12992525,,7015000,20007525
2022,1.2 Adicional Fondo Solidaridad,347,C. y T. Alimentos,,,,,59214,,0,59214
2022,1.2 Adicional Fondo Solidaridad,347,ISEF,,,,,1290128,,1157227,2447355
2022,1.2 Adicional Fondo Solidaridad,347,Esc. Nutrición,,,,,2686423,,1141204,3827627
2022,1.2 Adicional Fondo Solidaridad,347,CSIC,,,,,200,,0,200
2022,1.2 Adicional Fondo Solidaridad,347,CSEAM,,,,,1039031,,0,1039031
2022,1.2 Adicional Fondo Solidaridad,347,CSE,,,,,898832,,5240804,6139636
2022,1.2 Adicional Fondo Solidaridad,347,PCAB,,,,,0,,28958,28958
2022,1.2 Adicional Fondo Solidaridad,347,CAI - Com. Asuntos Internacionales,,,,,550,,0,550
2022,1.2 Adicional Fondo Solidaridad,347,Unidad 50,,,,,40098998,,0,40098998
2022,1.2 Adicional Fondo Solidaridad,348,Ofic. Centrales,,,,,1584000,,10634497,12218497
2022,1.2 Adicional Fondo Solidaridad,348,Unidad 50,,,,,3463204,,0,3463204
2022,1.2 Adicional Fondo Solidaridad,349,Bienestar Estudiantes,,,,,7235297,,682434,7917731
2022,1.2 Adicional Fondo Solidaridad,350,Hospital de Clínicas,,,,,0,,3517912,3517912
2022,1.2 Adicional Fondo Solidaridad,351,CCI,,,,,507212,,0,507212
2022,1.2 Adicional Fondo Solidaridad,351,CENUR Litoral Norte,,,,,2960547,,190766,3151313
2022,1.2 Adicional Fondo Solidaridad,352,POMLP,,,,,2688942,,288361914,291050856
2022,1.2 Adicional Fondo Solidaridad,352,POR,,,,,6161451,,38479161,44640612
